model,source,target,regime,T,ece_temp,ece_platt,ece_raw
bge-reranker,trec-dl-2020,webis-touche2020,single,3.374813469346393,0.24317967225123877,0.48636319529093947,0.29223438883024566
bge-reranker,LODO,webis-touche2020,lodo,3.346340760060727,0.2424258570766674,0.3554389066791925,0.29223438883024566
electra-base,dbpedia-entity,dbpedia-entity,oracle,6.840410623534309,0.16383115670385506,0.03498932969844131,0.3298542455384036
electra-base,trec-covid,dbpedia-entity,single,4.770323590325675,0.16910541616177355,0.1691306166597169,0.3298542455384036
electra-base,trec-dl-2019,dbpedia-entity,single,5.92444572758636,0.16556144933689138,0.20209684281487317,0.3298542455384036
electra-base,trec-dl-2020,dbpedia-entity,single,2.8355608448606273,0.1829207434656313,0.06639605544018547,0.3298542455384036
electra-base,webis-touche2020,dbpedia-entity,single,6.095301965363325,0.16517513276340914,0.4520147200180262,0.3298542455384036
electra-base,LODO,dbpedia-entity,lodo,4.240671051711186,0.17160172068171706,0.14548955012817064,0.3298542455384036
electra-base,trec-covid,trec-covid,oracle,4.770323590325675,0.08449388259402354,0.08449831032619637,0.28495047029034926
electra-base,dbpedia-entity,trec-covid,single,6.840410623534309,0.07017046529521057,0.1706446636942638,0.28495047029034926
electra-base,trec-dl-2019,trec-covid,single,5.92444572758636,0.08948174539966329,0.08033808436072652,0.28495047029034926
electra-base,trec-dl-2020,trec-covid,single,2.8355608448606273,0.12327251032260605,0.1035275722681327,0.28495047029034926
electra-base,webis-touche2020,trec-covid,single,6.095301965363325,0.08840940037894444,0.23058575484766594,0.28495047029034926
electra-base,LODO,trec-covid,lodo,4.637257807424058,0.07978083032973204,0.13419583281186642,0.28495047029034926
electra-base,trec-dl-2019,trec-dl-2019,oracle,5.92444572758636,0.03483175462417156,0.0357678440418543,0.2497564008116564
electra-base,dbpedia-entity,trec-dl-2019,single,6.840410623534309,0.022336169004647098,0.15362101776661571,0.2497564008116564
