model,dataset,method,tau,precision,coverage,n_accepted
minilm-l6,dbpedia-entity,platt,0.99,,0.0,0
minilm-l6,dbpedia-entity,iso,0.01,0.35904375281912493,0.9658026573731213,4434
minilm-l6,dbpedia-entity,iso,0.02,0.35904375281912493,0.9658026573731213,4434
minilm-l6,dbpedia-entity,iso,0.03,0.36313868613138683,0.9549117839250708,4384
minilm-l6,dbpedia-entity,iso,0.04,0.4079394097675633,0.8340230886517098,3829
minilm-l6,dbpedia-entity,iso,0.05,0.4079394097675633,0.8340230886517098,3829
minilm-l6,dbpedia-entity,iso,0.060000000000000005,0.4193200215866163,0.8072315399695056,3706
minilm-l6,dbpedia-entity,iso,0.06999999999999999,0.41916329284750337,0.8070137225005446,3705
minilm-l6,dbpedia-entity,iso,0.08,0.4192764578833693,0.8067959050315835,3704
minilm-l6,dbpedia-entity,iso,0.09,0.4477567886658796,0.7379655848399042,3388
minilm-l6,dbpedia-entity,iso,0.09999999999999999,0.4477567886658796,0.7379655848399042,3388
minilm-l6,dbpedia-entity,iso,0.11,0.4477567886658796,0.7379655848399042,3388
minilm-l6,dbpedia-entity,iso,0.12,0.4475937407735459,0.7377477673709432,3387
minilm-l6,dbpedia-entity,iso,0.13,0.4475937407735459,0.7377477673709432,3387
minilm-l6,dbpedia-entity,iso,0.14,0.4512085944494181,0.7299063384883467,3351
minilm-l6,dbpedia-entity,iso,0.15000000000000002,0.4512085944494181,0.7299063384883467,3351
minilm-l6,dbpedia-entity,iso,0.16,0.4512085944494181,0.7299063384883467,3351
minilm-l6,dbpedia-entity,iso,0.17,0.4512085944494181,0.7299063384883467,3351
minilm-l6,dbpedia-entity,iso,0.18000000000000002,0.46773685867170284,0.6920060988891309,3177
minilm-l6,dbpedia-entity,iso,0.19,0.5022863172704889,0.6192550642561534,2843
minilm-l6,dbpedia-entity,iso,0.2,0.5022863172704889,0.6192550642561534,2843
